cf_id,contact_id,company_name,goal,pledged,outcome,backers_count,country,currency,category_id,subcategory_id
2819,2384,"Stanton, Neal and Rodriguez",2600,9562,successful,94,IT,EUR,cat8,subcat15
2105,3074,Pratt LLC,5300,8475,successful,180,US,USD,cat4,subcat4
1324,2031,Gross PLC,180200,69617,failed,774,US,USD,cat4,subcat4
1952,5873,"Martinez, Gomez and Dalton",103200,53067,failed,672,CA,CAD,cat4,subcat4
2404,5501,Allen-Curtis,70600,42596,canceled,532,US,USD,cat2,subcat2
990,3489,Morgan-Martinez,148500,4756,canceled,55,AU,AUD,cat1,subcat1
1459,4210,"Luna, Anderson and Fox",9600,14925,successful,533,DK,DKK,cat5,subcat7
1106,6151,"Fleming, Zhang and Henderson",164700,166116,successful,2443,GB,GBP,cat3,subcat3
1488,6047,Flowers and Sons,3300,3834,successful,89,US,USD,cat4,subcat4
2107,5445,Gates PLC,4500,13985,successful,159,US,USD,cat2,subcat22
2660,5493,Caldwell LLC,99500,89288,failed,940,CH,CHF,cat5,subcat5
2647,6036,"Le, Burton and Evans",7700,5488,failed,117,US,USD,cat4,subcat4
565,2368,Briggs PLC,82800,2721,canceled,58,US,USD,cat5,subcat7
2713,1501,Hudson-Nguyen,1800,4712,successful,50,US,USD,cat6,subcat10
558,4351,Hogan Ltd,9600,9216,failed,115,US,USD,cat7,subcat21
698,3096,"Hamilton, Wright and Chavez",92100,19246,failed,326,US,USD,cat3,subcat9
321,6162,Bautista-Cross,5500,12274,successful,186,US,USD,cat5,subcat5
1302,1433,Jackson LLC,64300,65323,successful,1071,US,USD,cat3,subcat3
1410,2720,Figueroa Ltd,5000,11502,successful,117,US,USD,cat3,subcat3
2465,5251,Avila-Jones,5400,7322,successful,70,US,USD,cat2,subcat8
377,1797,"Martin, Lopez and Hunter",9000,11619,successful,135,US,USD,cat4,subcat4
1882,1656,Fields-Moore,25000,59128,successful,768,CH,CHF,cat3,subcat9
822,1346,Harris-Golden,8800,1518,canceled,51,US,USD,cat4,subcat4
2730,2989,"Moss, Norman and Dunlap",8300,9337,successful,199,US,USD,cat4,subcat4
2198,5629,"White, Larson and Wright",9300,11255,successful,107,US,USD,cat3,subcat9
2757,3456,"Payne, Oliver and Burch",6200,13632,successful,195,US,USD,cat2,subcat8
2588,3229,"Brown, Palmer and Pace",100,1,failed,1,US,USD,cat2,subcat2
1090,2277,Parker LLC,137200,88037,failed,1467,US,USD,cat2,subcat6
64,1276,"Bowen, Mcdonald and Hall",41500,175573,successful,3376,US,USD,cat2,subcat8
2171,3694,"Whitehead, Bell and Hughes",189400,176112,failed,5681,US,USD,cat4,subcat4
625,2260,Rodriguez-Brown,171300,100650,failed,1059,US,USD,cat2,subcat8
1065,5374,Hall-Schaefer,139500,90706,failed,1194,US,USD,cat4,subcat4
174,4420,Meza-Rogers,36400,26914,canceled,379,AU,AUD,cat2,subcat2
1344,3849,Curtis-Curtis,4200,2212,failed,30,AU,AUD,cat8,subcat15
2824,1638,Carlson Inc,2100,4640,successful,41,US,USD,cat2,subcat2
940,5230,"Clarke, Anderson and Lee",191200,191222,successful,1821,US,USD,cat4,subcat4
3024,1763,Evans Group,8000,12985,successful,164,US,USD,cat3,subcat9
2164,4323,Bruce Group,5500,4300,failed,75,US,USD,cat3,subcat3
2427,5256,"Keith, Alvarez and Potter",6100,9134,successful,157,CH,CHF,cat2,subcat2
1548,4836,Burton-Watkins,3500,8864,successful,246,US,USD,cat8,subcat15
2657,5981,Lopez and Sons,150500,150755,successful,1396,US,USD,cat4,subcat4
2916,1463,Cordova Ltd,90400,110279,successful,2506,US,USD,cat3,subcat3
1348,4577,Brown-Vang,9800,13439,successful,244,US,USD,cat8,subcat15
557,4951,Cruz-Ward,2600,10804,successful,146,AU,AUD,cat4,subcat4
2915,3567,Hernandez Group,128100,40107,failed,955,DK,DKK,cat2,subcat8
320,5475,"Tran, Steele and Wilson",23300,98811,successful,1267,US,USD,cat5,subcat13
1458,2114,"Summers, Gallegos and Stein",188100,5528,failed,67,US,USD,cat2,subcat8
379,5216,Blair Group,4900,521,failed,5,US,USD,cat6,subcat19
1879,1665,Nixon Inc,800,663,failed,26,US,USD,cat5,subcat5
597,6051,White LLC,96700,157635,successful,1561,US,USD,cat4,subcat4
1130,3983,"Santos, Black and Donovan",600,5368,successful,48,US,USD,cat3,subcat9
2354,2966,"Jones, Contreras and Burnett",181200,47459,failed,1130,US,USD,cat4,subcat4
1358,4478,Stone-Orozco,115000,86060,failed,782,US,USD,cat4,subcat4
188,4238,"Lee, Gibson and Morgan",38800,161593,successful,2739,US,USD,cat4,subcat4
2228,4404,Alexander-Williams,7200,6927,failed,210,US,USD,cat1,subcat1
1743,5666,Marks Ltd,44500,159185,successful,3537,CA,CAD,cat4,subcat4
2563,3691,"Olsen, Edwards and Reid",56000,172736,successful,2107,AU,AUD,cat3,subcat9
2424,2703,"Daniels, Rose and Tyler",8600,5315,failed,136,US,USD,cat3,subcat3
2369,4253,Adams Group,27100,195750,successful,3318,DK,DKK,cat4,subcat4
1134,5652,"Rogers, Huerta and Medina",5100,3525,failed,86,CA,CAD,cat2,subcat2
2241,3279,"Howard, Carter and Griffith",3600,10550,successful,340,US,USD,cat4,subcat4
2745,3233,Bailey PLC,1000,718,failed,19,US,USD,cat5,subcat20
1055,3017,Parker Group,88800,28358,failed,886,US,USD,cat4,subcat4
1215,3482,Fox Group,60200,138384,successful,1442,CA,CAD,cat5,subcat13
2036,2166,"Walker, Jones and Rodriguez",8200,2625,failed,35,IT,EUR,cat4,subcat4
1191,4146,Anthony-Shaw,191300,45004,canceled,441,US,USD,cat4,subcat4
879,2651,Cook LLC,3700,2538,failed,24,US,USD,cat4,subcat4
3062,1409,Sutton PLC,8400,3188,failed,86,IT,EUR,cat4,subcat4
611,3717,"Long, Morgan and Mitchell",42600,8517,failed,243,US,USD,cat2,subcat2
3195,3963,"Calhoun, Rogers and Long",6600,3012,failed,65,US,USD,cat2,subcat8
1221,2152,Sandoval Group,7100,8716,successful,126,US,USD,cat2,subcat17
2536,2974,Smith and Sons,15800,57157,successful,524,US,USD,cat2,subcat6
1834,1268,King Inc,8200,5178,failed,100,DK,DKK,cat3,subcat9
593,1822,Perry and Sons,54700,163118,successful,1989,US,USD,cat5,subcat7
3039,5066,Palmer Inc,63200,6041,failed,168,US,USD,cat2,subcat6
777,5075,"Hull, Baker and Martinez",1800,968,failed,13,US,USD,cat2,subcat2
835,3855,"Becker, Rice and White",100,2,failed,1,CA,CAD,cat4,subcat4
797,5923,"Osborne, Perkins and Knox",2100,14305,successful,157,US,USD,cat3,subcat3
509,1867,Mcknight-Freeman,8300,6543,canceled,82,US,USD,cat1,subcat1
2286,4376,"Hayden, Shannon and Stein",143900,193413,successful,4498,AU,AUD,cat4,subcat4
2110,2785,Daniel-Luna,75000,2529,failed,40,US,USD,cat2,subcat18
1038,5884,Weaver-Marquez,1300,5614,successful,80,US,USD,cat4,subcat4
2893,2441,"Austin, Baker and Kelley",9000,3496,canceled,57,US,USD,cat6,subcat14
805,1243,Carney-Anderson,1000,4257,successful,43,US,USD,cat2,subcat2
225,3411,Jackson Inc,196900,199110,successful,2053,US,USD,cat5,subcat5
968,2467,Warren Ltd,194500,41212,live,808,AU,AUD,cat5,subcat5
1369,1850,Schultz Inc,9400,6338,failed,226,DK,DKK,cat5,subcat23
1417,2604,Thompson LLC,104400,99100,failed,1625,US,USD,cat4,subcat4
3011,1693,Johnson Inc,8100,12300,successful,168,US,USD,cat4,subcat4
2691,2969,Morgan-Warren,87900,171549,successful,4289,US,USD,cat2,subcat8
2159,1544,Sullivan Group,1400,14324,successful,165,US,USD,cat2,subcat2
2515,4149,"Vargas, Banks and Palmer",156800,6024,failed,143,US,USD,cat4,subcat4
544,3463,"Johnson, Dixon and Zimmerman",121700,188721,successful,1815,US,USD,cat4,subcat4
3030,2939,"Moore, Dudley and Navarro",129400,57911,failed,934,US,USD,cat5,subcat23
817,2202,Price-Rodriguez,5700,12309,successful,397,GB,GBP,cat5,subcat13
1400,1728,Huang-Henderson,41700,138497,successful,1539,US,USD,cat5,subcat11
657,5362,Owens-Le,7900,667,failed,17,US,USD,cat4,subcat4
966,4840,Huff LLC,121500,119830,failed,2179,US,USD,cat1,subcat1
1558,2955,Johnson LLC,4800,6623,successful,138,US,USD,cat8,subcat15
1379,5354,"Chavez, Garcia and Cantu",87300,81897,failed,931,US,USD,cat4,subcat4
286,3847,Lester-Moore,46300,186885,successful,3594,US,USD,cat5,subcat23
894,3025,Fox-Quinn,67800,176398,successful,5880,US,USD,cat2,subcat2
709,1615,Garcia Inc,3000,10999,successful,112,US,USD,cat8,subcat15
1599,5154,Johnson-Lee,60900,102751,successful,943,US,USD,cat7,subcat21
905,5005,Pineda Group,137900,165352,successful,2468,US,USD,cat5,subcat11
146,1349,Hoffman-Howard,85600,165798,successful,2551,US,USD,cat7,subcat21
1632,3670,"Miranda, Hall and Mcgrath",2400,10084,successful,101,US,USD,cat7,subcat12
537,2912,"Williams, Carter and Gonzalez",7200,5523,canceled,67,US,USD,cat4,subcat4
1289,4336,Davis-Rodriguez,3400,5823,successful,92,US,USD,cat4,subcat4
2712,5576,"Reid, Rivera and Perry",3800,6000,successful,62,US,USD,cat5,subcat11
1980,2736,Mendoza-Parker,7500,8181,successful,149,IT,EUR,cat7,subcat12
296,3321,"Lee, Ali and Guzman",8600,3589,failed,92,US,USD,cat5,subcat11
1760,3353,Gallegos-Cobb,39500,4323,failed,57,AU,AUD,cat2,subcat2
2435,2336,Ellison PLC,9300,14822,successful,329,US,USD,cat5,subcat11
2343,4369,"Bolton, Sanchez and Carrillo",2400,10138,successful,97,DK,DKK,cat4,subcat4
2556,4464,Mason-Sanders,3200,3127,failed,41,US,USD,cat3,subcat9
2495,5626,Pitts-Reed,29400,123124,successful,1784,US,USD,cat4,subcat4
2497,1669,Gonzalez-Martinez,168500,171729,successful,1684,AU,AUD,cat6,subcat10
1955,5544,"Hill, Martin and Garcia",8400,10729,successful,250,US,USD,cat2,subcat2
1129,6078,Garcia PLC,2300,10240,successful,238,US,USD,cat4,subcat4
636,2580,Herring-Bailey,700,3988,successful,53,US,USD,cat4,subcat4
434,3592,Russell-Gardner,2900,14771,successful,214,US,USD,cat4,subcat4
1231,4914,Walters-Carter,4500,14649,successful,222,US,USD,cat3,subcat3
3162,3848,"Johnson, Patterson and Montoya",19800,184658,successful,1884,US,USD,cat6,subcat14
1717,2619,Roberts and Sons,6200,13103,successful,218,AU,AUD,cat7,subcat21
211,4605,Avila-Nelson,61500,168095,successful,6465,US,USD,cat6,subcat19
2635,6147,Robbins and Sons,100,3,failed,1,US,USD,cat2,subcat2
1854,1383,Singleton Ltd,7100,3840,failed,101,US,USD,cat4,subcat4
436,1757,Perez PLC,1000,6263,successful,59,US,USD,cat4,subcat4
2965,4390,"Rogers, Jacobs and Jackson",121500,108161,failed,1335,CA,CAD,cat5,subcat7
1034,4165,Barry Group,4600,8505,successful,88,US,USD,cat6,subcat10
614,4529,"Rosales, Branch and Harmon",80500,96735,successful,1697,US,USD,cat2,subcat2
1792,6084,Smith-Reid,4100,959,failed,15,GB,GBP,cat2,subcat2
121,2916,Williams Inc,5700,8322,successful,92,US,USD,cat4,subcat4
2936,2005,"Duncan, Mcdonald and Miller",5000,13424,successful,186,US,USD,cat4,subcat4
2081,2261,Watkins Ltd,1800,10755,successful,138,US,USD,cat8,subcat15
1204,5342,Allen-Jones,6300,9935,successful,261,US,USD,cat2,subcat2
669,4087,Mason-Smith,84300,26303,failed,454,US,USD,cat2,subcat2
735,2761,"Lloyd, Kennedy and Davis",1700,5328,successful,107,US,USD,cat2,subcat8
933,2908,Walker Ltd,2900,10756,successful,199,US,USD,cat8,subcat15
3055,2155,Gordon PLC,45600,165375,successful,5512,US,USD,cat4,subcat4
270,5642,Lee and Sons,4900,6031,successful,86,US,USD,cat4,subcat4
647,6217,Cole LLC,111900,85902,failed,3182,IT,EUR,cat2,subcat18
1219,4222,Acosta PLC,61600,143910,successful,2768,AU,AUD,cat4,subcat4
1257,4798,Brown-Mckee,1500,2708,successful,48,US,USD,cat5,subcat5
2162,5660,Miles and Sons,3500,8842,successful,87,US,USD,cat5,subcat20
2274,5000,"Sawyer, Horton and Williams",173900,47260,canceled,1890,US,USD,cat7,subcat12
2284,2809,Foley-Cox,153700,1953,live,61,US,USD,cat8,subcat15
407,3349,"Horton, Morrison and Clark",51100,155349,successful,1894,US,USD,cat4,subcat4
2440,3647,Thomas and Sons,7800,10704,successful,282,CA,CAD,cat4,subcat4
2476,5745,Morgan-Jenkins,2400,773,failed,15,US,USD,cat4,subcat4
41,2583,"Ward, Sanchez and Kemp",3900,9419,successful,116,US,USD,cat6,subcat19
890,5441,Fields Ltd,5500,5324,failed,133,US,USD,cat7,subcat12
2743,2090,Ramos-Mitchell,700,7465,successful,83,US,USD,cat4,subcat4
266,3386,"Higgins, Davis and Salazar",2700,8799,successful,91,US,USD,cat3,subcat3
3113,1816,Smith-Jenkins,8000,13656,successful,546,US,USD,cat4,subcat4
1909,4718,Braun PLC,2500,14536,successful,393,US,USD,cat5,subcat11
962,1677,Drake PLC,164500,150552,failed,2062,US,USD,cat4,subcat4
213,4218,"Ross, Kelly and Brown",8400,9076,successful,133,US,USD,cat5,subcat20
2741,4548,Lucas-Mullins,8100,1517,failed,29,DK,DKK,cat2,subcat2
2589,1431,Tran LLC,9800,8153,failed,132,US,USD,cat3,subcat3
1238,2830,"Dawson, Brady and Gilbert",900,6357,successful,254,US,USD,cat4,subcat4
164,4400,Obrien-Aguirre,112100,19557,canceled,184,US,USD,cat4,subcat4
2685,5773,Ferguson PLC,6300,13213,successful,176,US,USD,cat2,subcat6
2836,4161,Garcia Ltd,5600,5476,failed,137,DK,DKK,cat2,subcat17
2062,2062,"Smith, Love and Smith",800,13474,successful,337,CA,CAD,cat4,subcat4
3111,3458,"Wilson, Hall and Osborne",168600,91722,failed,908,US,USD,cat5,subcat5
1414,3174,"Bell, Grimes and Kerr",1800,8219,successful,107,US,USD,cat3,subcat3
2765,5565,Ho-Harris,7300,717,failed,10,US,USD,cat1,subcat1
939,1906,Ross Group,6500,1065,canceled,32,IT,EUR,cat4,subcat4
390,5479,Turner-Davis,600,8038,successful,183,US,USD,cat4,subcat4
2851,4320,"Smith, Jackson and Herrera",192900,68769,failed,1910,CH,CHF,cat4,subcat4
1607,4213,Smith-Hess,6100,3352,failed,38,AU,AUD,cat4,subcat4
3201,3373,"Brown, Herring and Bass",7200,6785,failed,104,AU,AUD,cat4,subcat4
641,4184,"Chase, Garcia and Johnson",3500,5037,successful,72,US,USD,cat2,subcat2
524,5472,Ramsey and Sons,3800,1954,failed,49,US,USD,cat1,subcat1
2423,5559,Cooke PLC,100,5,failed,1,DK,DKK,cat6,subcat10
1532,5419,Wong-Walker,900,12102,successful,295,US,USD,cat5,subcat5
1748,4171,"Ferguson, Collins and Mata",76100,24234,failed,245,US,USD,cat4,subcat4
3168,1302,"Guerrero, Flores and Jenkins",3400,2809,failed,32,US,USD,cat2,subcat8
1077,3520,Peterson PLC,2100,11469,successful,142,US,USD,cat5,subcat5
3114,6010,Townsend Ltd,2800,8014,successful,85,US,USD,cat4,subcat4
2547,4617,"Rush, Reed and Hall",6500,514,failed,7,US,USD,cat4,subcat4
2065,1417,Salazar-Dodson,32900,43473,successful,659,DK,DKK,cat6,subcat14
1143,4770,Davis Ltd,118200,87560,failed,803,US,USD,cat4,subcat4
2545,4328,Harris-Perry,4100,3087,canceled,75,US,USD,cat2,subcat8
1315,5171,"Velazquez, Hunt and Ortiz",7800,1586,failed,16,US,USD,cat7,subcat12
2219,4394,Flores PLC,6300,12812,successful,121,US,USD,cat4,subcat4
854,1794,Martinez LLC,59100,183345,successful,3742,US,USD,cat4,subcat4
336,3510,Miller-Irwin,2200,8697,successful,223,US,USD,cat2,subcat2
3014,2487,Sanchez-Morgan,1400,4126,successful,133,US,USD,cat5,subcat5
326,2215,"Lopez, Adams and Johnson",9500,3220,failed,31,US,USD,cat4,subcat4
2991,4136,Martin-Marshall,9600,6401,failed,108,IT,EUR,cat1,subcat1
1359,3723,Summers PLC,6600,1269,failed,30,US,USD,cat4,subcat4
341,5842,"Young, Hart and Ryan",5700,903,failed,17,US,USD,cat2,subcat2
2365,3289,Mills Group,8400,3251,canceled,64,US,USD,cat3,subcat3
358,1249,Sandoval-Powell,84400,8092,failed,80,US,USD,cat6,subcat14
583,5409,"Mills, Frazier and Perez",170400,160422,failed,2468,US,USD,cat5,subcat13
1373,2951,Hebert Group,117900,196377,successful,5168,US,USD,cat4,subcat4
2665,3432,"Cole, Smith and Wood",8900,2148,failed,26,GB,GBP,cat5,subcat5
2500,2297,"Harris, Hall and Harris",7100,11648,successful,307,US,USD,cat4,subcat4
921,6161,Saunders Group,6500,5897,failed,73,US,USD,cat4,subcat4
135,4603,"Pham, Avila and Nash",7200,3326,failed,128,US,USD,cat5,subcat11
2413,5818,"Patterson, Salinas and Lucas",2600,1002,failed,33,US,USD,cat4,subcat4
3004,4270,Young PLC,98700,131826,successful,2441,US,USD,cat2,subcat2
1911,6007,Willis and Sons,93800,21477,live,211,US,USD,cat7,subcat12
